Iconuc,Tabarnuc,NucPlusUltra,Gazby,Pégaz,Samagaz,Omaïgaz,Gastafiore,Igaznodon,Coron,Mockingjay,Lantier,Tacotac,TicEtTac,Cogén,Hydro,STEP turbinage,Puissance résiduelle,STEP pompage,Conso,Conso nette,Puissance excès,Stock d'eau de notre modèle
557.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4866, -1200.0,6633,2967.0,0.0 ,63.44878576190487
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,4481, -875.0,6916,3310.0,0.0 ,63.492220285714396
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 228.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,3824, -0.0,7152,3328.0,0.0 ,63.53565480952392
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 514.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,3500, -0.0,7114,3614.0,0.0 ,63.57908933333345
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 588.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,3467, -0.0,7155,3688.0,0.0 ,63.62252385714298
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 579.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,3435, -0.0,7714,4279.0,0.0 ,63.66595838095248
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , -0.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 350.0 ,0.0,3190, -0.0,7840,4650.0,0.0 ,63.709392904762005
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 466.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2963, -0.0,7129,4166.0,0.0 ,63.72782742857154
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 323.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2740, -0.0,6763,4023.0,0.0 ,63.77126195238107
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 582.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2586, -0.0,6478,3892.0,0.0 ,63.81469647619059
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 358.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2517, -0.0,6185,3668.0,0.0 ,63.85813100000012
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 210.0 , 466.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2420, -0.0,6196,3776.0,0.0 ,63.901565523809644
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 571.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2327, -0.0,6598,4271.0,0.0 ,63.945000047619175
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 492.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,0.0,2390, -0.0,7182,4792.0,0.0 ,63.9884345714287
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 512.0 ,0.0,2481, -0.0,7893,5412.0,0.0 ,64.03186909523822
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 863.0 ,0.0,2829, -0.0,8592,5763.0,0.0 ,64.03873219047632
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,1035.0,3095, -0.0,9030,5935.0,0.0 ,64.02052385714299
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,809.0,3554, -0.0,9263,5709.0,0.0 ,64.06395838095253
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,552.0,4019, -0.0,9471,5452.0,0.0 ,64.10739290476205
900.0 , 900.0 , 1300.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 600.0 , 600.0 , 600.0 , 0.0 , 0.0 , 0.0 , 0.0 ,706.0,3966, -0.0,9572,5606.0,0.0 ,64.15082742857157
